set;clf_name;selector_name;n_features;accuracy
sets;rndforest;rfe;90;0.8780487804878049
sets;rndforest;rfe;89;0.9024390243902439
sets;rndforest;rfe;88;0.8292682926829268
sets;rndforest;rfe;87;0.8536585365853658
sets;rndforest;rfe;86;0.926829268292683
sets;rndforest;rfe;85;0.8780487804878049
sets;rndforest;rfe;84;0.9024390243902439
sets;rndforest;rfe;83;0.8536585365853658
sets;rndforest;rfe;82;0.9024390243902439
sets;rndforest;rfe;81;0.8536585365853658
sets;rndforest;rfe;80;0.8780487804878049
sets;mlp;rfe;132;0.8780487804878049
sets;logit;pca;132;0.8048780487804879
sets;logit;pca;131;0.8048780487804879
sets;logit;pca;130;0.8048780487804879
sets;logit;pca;129;0.8048780487804879
sets;logit;pca;128;0.8048780487804879
sets;logit;pca;127;0.8048780487804879
sets;logit;pca;126;0.8048780487804879
sets;logit;pca;125;0.8048780487804879
sets;logit;pca;124;0.8048780487804879
sets;logit;pca;123;0.8048780487804879
sets;logit;pca;122;0.8048780487804879
sets;logit;pca;121;0.8048780487804879
sets;logit;pca;120;0.8048780487804879
sets;logit;pca;119;0.8048780487804879
sets;logit;pca;118;0.8048780487804879
sets;logit;pca;117;0.8048780487804879
sets;logit;pca;116;0.8048780487804879
sets;logit;pca;115;0.8048780487804879
sets;logit;pca;114;0.8048780487804879
sets;logit;pca;113;0.8048780487804879
sets;logit;pca;112;0.8048780487804879
sets;logit;pca;111;0.8048780487804879
sets;logit;pca;110;0.8048780487804879
sets;logit;pca;109;0.8048780487804879
sets;logit;pca;108;0.8048780487804879
sets;logit;pca;107;0.8048780487804879
sets;logit;pca;106;0.8048780487804879
sets;logit;pca;105;0.8048780487804879
sets;logit;pca;104;0.8048780487804879
sets;logit;pca;103;0.8048780487804879
sets;logit;pca;102;0.8048780487804879
sets;logit;pca;101;0.8048780487804879
sets;logit;pca;100;0.8048780487804879
sets;logit;pca;99;0.8048780487804879
sets;logit;pca;98;0.8048780487804879
sets;logit;pca;97;0.8048780487804879
sets;logit;pca;96;0.8048780487804879
sets;logit;pca;95;0.8048780487804879
sets;logit;pca;94;0.8048780487804879
sets;logit;pca;93;0.8048780487804879
sets;logit;pca;92;0.8048780487804879
sets;logit;pca;91;0.8048780487804879
sets;logit;pca;90;0.8048780487804879
sets;logit;pca;89;0.8048780487804879
sets;logit;pca;88;0.8048780487804879
sets;logit;pca;87;0.8048780487804879
sets;logit;pca;86;0.8048780487804879
sets;logit;pca;85;0.8048780487804879
sets;logit;pca;84;0.8048780487804879
sets;logit;pca;83;0.8048780487804879
sets;logit;pca;82;0.8048780487804879
sets;logit;pca;81;0.8048780487804879
sets;logit;pca;80;0.8048780487804879
sets;svm;pca;132;0.8536585365853658
sets;svm;pca;131;0.8536585365853658
sets;svm;pca;130;0.8536585365853658
sets;svm;pca;129;0.8536585365853658
sets;svm;pca;128;0.8536585365853658
sets;svm;pca;127;0.8536585365853658
sets;svm;pca;126;0.8536585365853658
sets;svm;pca;125;0.8536585365853658
sets;svm;pca;124;0.8536585365853658
sets;svm;pca;123;0.8536585365853658
sets;svm;pca;122;0.8536585365853658
sets;svm;pca;121;0.8536585365853658
sets;svm;pca;120;0.8536585365853658
sets;svm;pca;119;0.8536585365853658
sets;svm;pca;118;0.8536585365853658
sets;svm;pca;117;0.8536585365853658
sets;svm;pca;116;0.8536585365853658
sets;svm;pca;115;0.8536585365853658
sets;svm;pca;114;0.8536585365853658
sets;svm;pca;113;0.8536585365853658
sets;svm;pca;112;0.8536585365853658
sets;svm;pca;111;0.8536585365853658
sets;svm;pca;110;0.8536585365853658
sets;svm;pca;109;0.8536585365853658
sets;svm;pca;108;0.8536585365853658
sets;svm;pca;107;0.8536585365853658
sets;svm;pca;106;0.8536585365853658
sets;svm;pca;105;0.8536585365853658
sets;svm;pca;104;0.8536585365853658
sets;svm;pca;103;0.8536585365853658
sets;svm;pca;102;0.8536585365853658
sets;svm;pca;101;0.8536585365853658
sets;svm;pca;100;0.8536585365853658
sets;svm;pca;99;0.8536585365853658
sets;svm;pca;98;0.8536585365853658
sets;svm;pca;97;0.8536585365853658
sets;svm;pca;96;0.8536585365853658
sets;svm;pca;95;0.8536585365853658
sets;svm;pca;94;0.8536585365853658
sets;svm;pca;93;0.8536585365853658
sets;svm;pca;92;0.8536585365853658
sets;svm;pca;91;0.8536585365853658
sets;svm;pca;90;0.8536585365853658
sets;svm;pca;89;0.8536585365853658
sets;svm;pca;88;0.8536585365853658
sets;svm;pca;87;0.8536585365853658
sets;svm;pca;86;0.8536585365853658
sets;svm;pca;85;0.8536585365853658
sets;svm;pca;84;0.8536585365853658
sets;svm;pca;83;0.8536585365853658
sets;svm;pca;82;0.8536585365853658
sets;svm;pca;81;0.8536585365853658
sets;svm;pca;80;0.8536585365853658
sets;knn;pca;132;0.7317073170731707
sets;knn;pca;131;0.7317073170731707
sets;knn;pca;130;0.7317073170731707
sets;knn;pca;129;0.7317073170731707
sets;knn;pca;128;0.7317073170731707
sets;knn;pca;127;0.7317073170731707
sets;knn;pca;126;0.7317073170731707
sets;knn;pca;125;0.7317073170731707
sets;knn;pca;124;0.7317073170731707
sets;knn;pca;123;0.7317073170731707
sets;knn;pca;122;0.7317073170731707
sets;knn;pca;121;0.7317073170731707
sets;knn;pca;120;0.7317073170731707
sets;knn;pca;119;0.7317073170731707
sets;knn;pca;118;0.7317073170731707
sets;knn;pca;117;0.7317073170731707
sets;knn;pca;116;0.7317073170731707
sets;knn;pca;115;0.7317073170731707
sets;knn;pca;114;0.7317073170731707
sets;knn;pca;113;0.7317073170731707
sets;knn;pca;112;0.7317073170731707
sets;knn;pca;111;0.7317073170731707
sets;knn;pca;110;0.7317073170731707
sets;knn;pca;109;0.7317073170731707
sets;knn;pca;108;0.7317073170731707
sets;knn;pca;107;0.7317073170731707
sets;knn;pca;106;0.7317073170731707
sets;knn;pca;105;0.7317073170731707
sets;knn;pca;104;0.7317073170731707
sets;knn;pca;103;0.7317073170731707
sets;knn;pca;102;0.7317073170731707
sets;knn;pca;101;0.7317073170731707
sets;knn;pca;100;0.7317073170731707
sets;knn;pca;99;0.7317073170731707
sets;knn;pca;98;0.7317073170731707
sets;knn;pca;97;0.7317073170731707
sets;knn;pca;96;0.7317073170731707
sets;knn;pca;95;0.7317073170731707
sets;knn;pca;94;0.7317073170731707
sets;knn;pca;93;0.7317073170731707
sets;knn;pca;92;0.7317073170731707
sets;knn;pca;91;0.7317073170731707
sets;knn;pca;90;0.7317073170731707
sets;knn;pca;89;0.7317073170731707
sets;knn;pca;88;0.7317073170731707
sets;knn;pca;87;0.7317073170731707
sets;knn;pca;86;0.7317073170731707
sets;knn;pca;85;0.7317073170731707
sets;knn;pca;84;0.7317073170731707
sets;knn;pca;83;0.7317073170731707
sets;knn;pca;82;0.7317073170731707
sets;knn;pca;81;0.7317073170731707
sets;knn;pca;80;0.7317073170731707
sets;ncentroids;pca;132;0.4146341463414634
sets;ncentroids;pca;131;0.4146341463414634
sets;ncentroids;pca;130;0.4146341463414634
sets;ncentroids;pca;129;0.4146341463414634
sets;ncentroids;pca;128;0.4146341463414634
sets;ncentroids;pca;127;0.4146341463414634
sets;ncentroids;pca;126;0.4146341463414634
sets;ncentroids;pca;125;0.4146341463414634
sets;ncentroids;pca;124;0.4146341463414634
sets;ncentroids;pca;123;0.4146341463414634
sets;ncentroids;pca;122;0.4146341463414634
sets;ncentroids;pca;121;0.4146341463414634
sets;ncentroids;pca;120;0.4146341463414634
sets;ncentroids;pca;119;0.4146341463414634
sets;ncentroids;pca;118;0.4146341463414634
sets;ncentroids;pca;117;0.4146341463414634
sets;ncentroids;pca;116;0.4146341463414634
sets;ncentroids;pca;115;0.4146341463414634
sets;ncentroids;pca;114;0.4146341463414634
sets;ncentroids;pca;113;0.4146341463414634
sets;ncentroids;pca;112;0.4146341463414634
sets;ncentroids;pca;111;0.4146341463414634
sets;ncentroids;pca;110;0.4146341463414634
sets;ncentroids;pca;109;0.4146341463414634
sets;ncentroids;pca;108;0.4146341463414634
sets;ncentroids;pca;107;0.4146341463414634
sets;ncentroids;pca;106;0.4146341463414634
sets;ncentroids;pca;105;0.4146341463414634
sets;ncentroids;pca;104;0.4146341463414634
sets;ncentroids;pca;103;0.4146341463414634
sets;ncentroids;pca;102;0.4146341463414634
sets;ncentroids;pca;101;0.4146341463414634
sets;ncentroids;pca;100;0.4146341463414634
sets;ncentroids;pca;99;0.4146341463414634
sets;ncentroids;pca;98;0.4146341463414634
sets;ncentroids;pca;97;0.4146341463414634
sets;ncentroids;pca;96;0.4146341463414634
sets;ncentroids;pca;95;0.4146341463414634
sets;ncentroids;pca;94;0.4146341463414634
sets;ncentroids;pca;93;0.4146341463414634
sets;ncentroids;pca;92;0.4146341463414634
sets;ncentroids;pca;91;0.4146341463414634
sets;ncentroids;pca;90;0.4146341463414634
sets;ncentroids;pca;89;0.4146341463414634
sets;ncentroids;pca;88;0.4146341463414634
sets;ncentroids;pca;87;0.4146341463414634
sets;ncentroids;pca;86;0.4146341463414634
sets;ncentroids;pca;85;0.4146341463414634
sets;ncentroids;pca;84;0.4146341463414634
sets;ncentroids;pca;83;0.4146341463414634
sets;ncentroids;pca;82;0.4146341463414634
sets;ncentroids;pca;81;0.4146341463414634
